NAME,PROBE,GENE SYMBOL,GENE_TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
row_0,PLAUR,null,null,159,10.06947803,-0.006809517,No
row_1,KLF10,null,null,206,7.749233723,-0.007447305,No
row_2,PLPP3,null,null,701,3.110969067,-0.03636546,No
row_3,IL18,null,null,863,2.664195538,-0.04533557,No
row_4,FJX1,null,null,924,2.520597219,-0.0482576,No
row_5,TSC22D1,null,null,1197,2.044054747,-0.064088926,No
row_6,CCL2,null,null,1240,1.995332003,-0.066070735,No
row_7,CCRL2,null,null,1248,1.980787635,-0.065946974,No
row_8,NFIL3,null,null,1281,1.9373945,-0.067342006,No
row_9,TNFAIP8,null,null,1287,1.930336475,-0.0671116,No
row_10,SDC4,null,null,1489,1.674517393,-0.07876529,No
row_11,HBEGF,null,null,1617,1.531641603,-0.085998096,No
row_12,BCL2A1,null,null,1821,1.347365141,-0.09786247,No
row_13,PHLDA1,null,null,2006,1.226715684,-0.10861488,No
row_14,TLR2,null,null,2065,1.185053587,-0.11178429,No
row_15,BCL6,null,null,2091,1.165905118,-0.112969935,No
row_16,SNN,null,null,2103,1.158729076,-0.113313735,No
row_17,PMEPA1,null,null,2353,1.019064784,-0.12804113,No
row_18,IL1A,null,null,2436,0.967773378,-0.13271697,No
row_19,RCAN1,null,null,2690,0.821905315,-0.14773977,No
row_20,CCND1,null,null,2700,0.817496955,-0.14805703,No
row_21,LAMB3,null,null,2923,0.706244409,-0.16124322,No
row_22,DDX58,null,null,3189,0.59662658,-0.17705137,No
row_23,PTGER4,null,null,4087,0.290412933,-0.23103683,No
row_24,EFNA1,null,null,4124,0.28219381,-0.23312894,No
row_25,TRIP10,null,null,4464,0.196328431,-0.2535076,No
row_26,CSF1,null,null,4549,0.180668235,-0.25852084,No
row_27,JAG1,null,null,4550,0.180639774,-0.25847107,No
row_28,PTGS2,null,null,4607,0.169532597,-0.2617997,No
row_29,TNFAIP2,null,null,4615,0.167461321,-0.26217547,No
row_30,EDN1,null,null,4941,0.104941927,-0.28173548,No
row_31,CEBPD,null,null,4986,0.097517759,-0.28436068,No
row_32,TNFAIP6,null,null,5117,0.07297384,-0.29217613,No
